function,qubits,target,path,median_ns,mean_ns,min_ns,p5_ns,p95_ns,stddev_ns,max_ns,data_bytes,touch_bytes,bw_gbs,elem_per_ns,samples
h_tiled,5,0,within-tile,0.0,425.6,0.0,0.0,1000.0,505.3,4000.0,16384,32768,0.000,0.000,5000
h_packed,5,0,packed,0.0,402.4,0.0,0.0,1000.0,492.9,4000.0,8448,16896,0.000,0.000,5000
h_tiled,5,1,within-tile,0.0,428.6,0.0,0.0,1000.0,506.5,8000.0,16384,32768,0.000,0.000,5000
h_packed,5,1,packed,0.0,408.4,0.0,0.0,1000.0,492.0,2000.0,8448,16896,0.000,0.000,5000
h_tiled,5,2,within-tile,0.0,417.0,0.0,0.0,1000.0,493.1,1000.0,16384,32768,0.000,0.000,5000
h_packed,5,2,packed,0.0,392.6,0.0,0.0,1000.0,492.5,5000.0,8448,16896,0.000,0.000,5000
h_tiled,5,3,within-tile,0.0,397.2,0.0,0.0,1000.0,493.4,5000.0,16384,32768,0.000,0.000,5000
h_packed,5,3,packed,0.0,393.6,0.0,0.0,1000.0,491.0,4000.0,8448,16896,0.000,0.000,5000
h_tiled,5,4,within-tile,0.0,386.4,0.0,0.0,1000.0,663.0,32000.0,16384,32768,0.000,0.000,5000
h_packed,5,4,packed,0.0,385.0,0.0,0.0,1000.0,486.6,1000.0,8448,16896,0.000,0.000,5000
h_tiled,6,0,within-tile,1000.0,989.0,0.0,1000.0,1000.0,187.8,7000.0,49152,98304,98.304,3.072,5000
h_packed,6,0,packed,27000.0,26712.8,10000.0,15000.0,37000.0,6975.8,77000.0,33280,66560,2.465,0.077,5000
h_tiled,6,1,within-tile,1000.0,874.6,0.0,0.0,1000.0,357.9,3000.0,49152,98304,98.304,3.072,5000
h_packed,6,1,packed,27000.0,26205.8,11000.0,17000.0,34000.0,5472.9,62000.0,33280,66560,2.465,0.077,5000
h_tiled,6,2,within-tile,1000.0,861.0,0.0,0.0,1000.0,346.0,1000.0,49152,98304,98.304,3.072,5000
h_packed,6,2,packed,27000.0,26674.4,11000.0,17000.0,34000.0,5131.6,63000.0,33280,66560,2.465,0.077,5000
h_tiled,6,3,within-tile,1000.0,862.6,0.0,0.0,1000.0,351.8,2000.0,49152,98304,98.304,3.072,5000
h_packed,6,3,packed,27000.0,26887.4,13000.0,18000.0,35000.0,5199.2,71000.0,33280,66560,2.465,0.077,5000
h_tiled,6,4,within-tile,1000.0,867.8,0.0,0.0,1000.0,345.8,2000.0,49152,98304,98.304,3.072,5000
h_packed,6,4,packed,27000.0,26792.0,11000.0,17000.0,35000.0,5459.1,75000.0,33280,66560,2.465,0.077,5000
h_tiled,6,5,cross-tile,1000.0,774.0,0.0,0.0,1000.0,420.2,2000.0,49152,98304,98.304,3.072,5000
h_packed,6,5,packed,27000.0,26572.2,12000.0,17000.0,34000.0,5087.2,61000.0,33280,66560,2.465,0.077,5000
h_tiled,7,0,within-tile,4000.0,3787.4,3000.0,3000.0,4000.0,561.3,12000.0,163840,327680,81.920,2.560,5000
h_packed,7,0,packed,28000.0,27221.4,11000.0,16000.0,36000.0,6254.8,71000.0,132096,264192,9.435,0.295,5000
h_tiled,7,1,within-tile,4000.0,3752.2,3000.0,3000.0,4000.0,564.3,16000.0,163840,327680,81.920,2.560,5000
h_packed,7,1,packed,28000.0,27905.4,11000.0,18000.0,36000.0,5499.6,57000.0,132096,264192,9.435,0.295,5000
h_tiled,7,2,within-tile,4000.0,3760.6,3000.0,3000.0,4000.0,591.7,14000.0,163840,327680,81.920,2.560,5000
h_packed,7,2,packed,27000.0,26289.8,12000.0,16000.0,37000.0,6946.8,79000.0,132096,264192,9.785,0.306,5000
h_tiled,7,3,within-tile,4000.0,3745.8,3000.0,3000.0,4000.0,531.8,10000.0,163840,327680,81.920,2.560,5000
h_packed,7,3,packed,28000.0,28004.0,13000.0,19000.0,36000.0,5263.9,63000.0,132096,264192,9.435,0.295,5000
h_tiled,7,4,within-tile,4000.0,3866.8,3000.0,3000.0,4000.0,455.1,11000.0,163840,327680,81.920,2.560,5000
h_packed,7,4,packed,28000.0,28499.6,13000.0,19000.0,37000.0,5467.8,71000.0,132096,264192,9.435,0.295,5000
h_tiled,7,5,cross-tile,4000.0,3585.6,3000.0,3000.0,4000.0,567.7,12000.0,163840,327680,81.920,2.560,5000
h_packed,7,5,packed,28000.0,28385.6,12000.0,20000.0,37000.0,5288.4,67000.0,132096,264192,9.435,0.295,5000
h_tiled,7,6,cross-tile,3000.0,3062.6,2000.0,3000.0,4000.0,299.2,9000.0,163840,327680,109.227,3.413,5000
h_packed,7,6,packed,28000.0,28141.4,12000.0,19000.0,37000.0,5687.4,65000.0,132096,264192,9.435,0.295,5000
h_tiled,8,0,within-tile,13000.0,13600.2,12000.0,13000.0,15000.0,1022.4,24000.0,589824,1179648,90.742,2.836,5000
h_packed,8,0,packed,30000.0,30493.8,16000.0,22000.0,40000.0,5324.5,67000.0,526336,1052672,35.089,1.097,5000
