function,qubits,target,path,median_ns,mean_ns,min_ns,p5_ns,p95_ns,stddev_ns,max_ns,data_bytes,touch_bytes,bw_gbs,elem_per_ns,samples
x_tiled,5,0,within-tile,1000.0,1067.6,0.0,1000.0,2000.0,283.3,3000.0,16384,32768,32.768,1.024,5000
x_packed,5,0,packed,0.0,466.8,0.0,0.0,1000.0,755.9,35000.0,8448,16896,0.000,0.000,5000
x_tiled,5,1,within-tile,1000.0,723.8,0.0,0.0,1000.0,468.6,8000.0,16384,32768,32.768,1.024,5000
x_packed,5,1,packed,0.0,456.6,0.0,0.0,1000.0,509.3,8000.0,8448,16896,0.000,0.000,5000
x_tiled,5,2,within-tile,1000.0,645.4,0.0,0.0,1000.0,479.7,3000.0,16384,32768,32.768,1.024,5000
x_packed,5,2,packed,0.0,404.6,0.0,0.0,1000.0,490.9,1000.0,8448,16896,0.000,0.000,5000
x_tiled,5,3,within-tile,1000.0,571.8,0.0,0.0,1000.0,494.9,1000.0,16384,32768,32.768,1.024,5000
x_packed,5,3,packed,0.0,373.4,0.0,0.0,1000.0,487.9,5000.0,8448,16896,0.000,0.000,5000
x_tiled,5,4,within-tile,1000.0,520.8,0.0,0.0,1000.0,499.6,1000.0,16384,32768,32.768,1.024,5000
x_packed,5,4,packed,0.0,360.6,0.0,0.0,1000.0,480.2,1000.0,8448,16896,0.000,0.000,5000
x_tiled,6,0,within-tile,1000.0,1279.0,1000.0,1000.0,2000.0,448.6,2000.0,49152,98304,98.304,3.072,5000
x_packed,6,0,packed,26000.0,25561.0,10000.0,16000.0,33000.0,5246.2,47000.0,33280,66560,2.560,0.080,5000
x_tiled,6,1,within-tile,1000.0,802.6,0.0,0.0,1000.0,400.1,2000.0,49152,98304,98.304,3.072,5000
x_packed,6,1,packed,27000.0,26168.8,11000.0,16000.0,34000.0,5577.8,72000.0,33280,66560,2.465,0.077,5000
x_tiled,6,2,within-tile,1000.0,809.6,0.0,0.0,1000.0,410.6,9000.0,49152,98304,98.304,3.072,5000
x_packed,6,2,packed,27000.0,26124.4,11000.0,16000.0,34000.0,5219.9,53000.0,33280,66560,2.465,0.077,5000
x_tiled,6,3,within-tile,1000.0,824.4,0.0,0.0,1000.0,392.9,2000.0,49152,98304,98.304,3.072,5000
x_packed,6,3,packed,27000.0,26245.2,11000.0,17000.0,34000.0,5214.8,75000.0,33280,66560,2.465,0.077,5000
x_tiled,6,4,within-tile,1000.0,819.2,0.0,0.0,1000.0,392.6,6000.0,49152,98304,98.304,3.072,5000
x_packed,6,4,packed,26000.0,25832.6,10000.0,15000.0,34000.0,5750.8,66000.0,33280,66560,2.560,0.080,5000
x_tiled,6,5,cross-tile,0.0,499.2,0.0,0.0,1000.0,500.0,1000.0,49152,98304,0.000,0.000,5000
x_packed,6,5,packed,27000.0,26387.4,10000.0,17000.0,34000.0,5121.3,64000.0,33280,66560,2.465,0.077,5000
x_tiled,7,0,within-tile,4000.0,3651.0,3000.0,3000.0,4000.0,494.4,8000.0,163840,327680,81.920,2.560,5000
x_packed,7,0,packed,27000.0,26757.8,12000.0,17000.0,35000.0,5768.4,74000.0,132096,264192,9.785,0.306,5000
x_tiled,7,1,within-tile,4000.0,3709.6,3000.0,3000.0,4000.0,504.5,11000.0,163840,327680,81.920,2.560,5000
x_packed,7,1,packed,27000.0,26835.6,12000.0,17000.0,35000.0,5729.8,76000.0,132096,264192,9.785,0.306,5000
